text,label,notes
"YTA, if you had told both kids that if they both proved to you that they did their best in school you'd get them a car then fair. Don't necessarily hold them to equal results but you can hold them to an equal level of effort",judgment,
"YTA, I was the kid that everyone expected more out of and it sucks. It's suffocating. Everyone just expects you to be perfect while your siblings are rewarded.",judgment,
YTA. He worked specifically for that goal for 4 years and then just gave it to your other son. It's totally reasonable for him to feel cheated.,judgment,
"YTA you didn't have a straightforward conversation about expectations with your younger child. As the oldest who was constantly told I was lucky, yeah it all sucks.",judgment,
"Yeah, YTA. This is a massive amount of goalpost moving, and of course your son is pissed. It's extremely disingenuous to claim that now.",judgment,
"YTA. Older kid should've gotten the newer car. He is older, he worked harder, and most importantly, he helped his younger brother do that work. You turned something beautiful into a betrayal.",judgment,
"Your oldest has a point, he worked hard for years to keep that 4.0 and he gets a 10 year old Ford. Younger brother gets a newer car. YTA",judgment,
If you wouldn't have still bought the oldest a car YTA. There should have been SOME requirement for the youngest or no requirement for the oldest.,judgment,
"NTA for this context. This friend wanted the dress code, had an outfit planned, had time to set something else up, and then told you they just didn't care. Your friend is the asshole.",judgment,
This friend is trying to tell something without using words.,reaction,
"Oh that friend already told the OP that something, it's 'I don't care.' That's not a friend.",reaction,
"If someone doesn't want to follow the dress code, why not just decline the invitation? Your friend was the asshole.",judgment,
"Agreed, if the friend can't be bothered to dress up, not attending was a valid choice.",reaction,
"NTA, something isn't adding up. There is something she isn't telling you. To have helped up until days before, to all the sudden switch places and show up late? Something is amiss.",judgment,
"If you want to keep the friendship then approaching it as 'I noticed you were not acting like yourself, wanted to see if everything was ok'. Best question to ask yourself is what do you want out of this scenario?",advice,
"This! My first thought, it's odd they helped and even suggested the dress code, but then they didn't care? Odd, sus, something is up!",reaction,
Plus why were they so surprised that other people dressed up? I wonder if something happened and she ruined her dress and was just too embarrassed to admit it?,reaction,
Trivial? Yes. But a valid point? I would say so. Because true friends know when something means a lot and will come through. NTA,judgment,
'I haven't hosted a party in a while so OBVIOUSLY I had to tell everyone what to wear' ESH,judgment,
"OP hasn't hosted a party in many, many years but is also only a first year college student. That doesn't really add up.",reaction,
"I didnt even own a suit till senior year of college for job interviews, do 18/19 year olds normally host formal parties?",reaction,
I was fully confused as soon as I read this sentence. How is that obvious? I still don't understand why that's the important part here,reaction,
This is a lot more common with younger people now. Everyone wants to know what are we wearing. Gen Z is the dress code generation.,reaction,
"The question really is do I want to blow up my friendship over this? Yes it was rude of your friend, but it's extremely petty of you to refuse to go to her party over a pair of jeans.",advice,
"ESH. Saying formal attire please is ok. But a color palette is silly, WAYYYY over the line and actually not polite for a formal event.",judgment,
"NTA. I'm confused, was that same friend the one who suggested the formal attire? If she was, why would she do that if she wasn't gonna follow it?? Just weird",judgment,
I'm gonna say NTA. You made it clear from the beginning that there was an expectation for how to dress. She deliberately went against it. So she shouldn't be surprised that you're not happy about it.,judgment,
Info: Did you ask her why she was so adamant about jeans?,reaction,
"ESH, you can set a dress code but you can't make them follow it! Your friend is an AH for wearing jeans, but your behavior makes you an AH too for making a giant deal out of it.",judgment,
I'm so tired of people acting like dressing up for a party is some huge burden. OP's friend suggested the dress code. Then asked to break it and was told no. Then did what they wanted anyway. That's rude as hell.,judgment,
NTA and I'm very surprised by the YTA responses. The whole thing seems incredibly strange to me. I would start paying more attention as to how this friend acts around me.,judgment,
YTA and don't you dare tell your parents that she doesn't want to come. Make it clear that decisions are both yours and your wife's on the consideration of your newborn.,advice,
"I CANNOT UPVOTE THIS ENOUGH. So please for the love of your wife, do not make this a 'my wife says no' but tell them it's too soon and YOU are looking out for them.",advice,
God bless the Grandma Marys of the world,reaction,
This. You'd be double YTA if you threw your wife under the bus and said she didn't want to come. You're both doing what's right for your baby by not taking that international flight.,judgment,
Right?! The earliest they will give a baby the MMR vaccine is six months. I would not be traveling anywhere until my baby had the first dose of all its major vaccines.,reaction,
He wont. Why do you think they blame her for his adult actions of moving to a new country. OP is not ready to put his adult pants on and tell his parents that moving was his adult decision.,judgment,
I find his edit telling as well. I think he is trying to use his child to make them happy and to help their relationship. They dont respect her now so why would they with a baby involved.,reaction,
"International with a 5mo? Absolutely not, no. You weren't the AH for asking, but YTA for pushing. And yes, everything has changed significantly.",judgment,
"Also, OP married and reproduced with someone he knew had tension with his family, IMO he should be pestering his parents to accept his wife, rather than pestering his wife to lump it.",advice,
"This, exactly! It's on OP to be on his wife's side, THEY chose to marry and live where they live, don't let the wife bear the brunt of their displeasure. He needs to be vocally in her corner.",advice,
YTA. She's literally risking her health and life to have to have your baby. And you're trying to pressure her to travel internationally with the baby before she's ready? Not okay.,judgment,
I can feel the anger radiating off this comment and I love it,reaction,
I'm pregnant myself and reading this made me seethe with anger as well. I can't imagine my husband trying to force me to do anything I don't want to do literal months after birthing his child.,reaction,
Why are his family still some of his favorite people if they treat his wife and mother of his child like this? Despite the edit I don't see one single indication he will ever tell them to go scratch.,reaction,
"YTA, the holidays are an insane time to travel and the height of sickness and your child will not have all their vaccines to keep them protected!",judgment,
This. You want measels? This is how you get measels.,reaction,
"Also, he thinks they will all be hanging out with his sister and her month-old baby? Is SHE even comfortable having her newborn around her brother and his family after they just travelled internationally?",reaction,
Making that poor kid travel every Christmas is awful too. As a mom I now forbid leaving the house on Christmas. We celebrate another day with extended family.,reaction,
YTA for wanting to visit your parents who haven't been very accepting of your wife. I'd bet you're underselling how badly they treat her.,judgment,
YTA 100%. expecting a woman who's only 5 months postpartum to go on a 5 hour flight out of the country with a baby is wild. She also deserves to be able to enjoy your child's first Christmas while still adjusting to motherhood.,judgment,
YTA. You are 100% correct expectations have changed because you now have to factor a small baby into that. The focus should be on your wife and kids.,judgment,
YTA. Your family actively dislikes your wife in your own words. You're asking your wife for a lot with no incentive for her. Like two new parents that dislike her and international travel sounds like nightmare fuel.,judgment,
YTA. You should travel when your wife is ready. You have no idea what you're asking. She will be under a microscope with your pissed off mother.,judgment,
"YTA If your parents already dislike your wife for you settling in a different country, they are not going to make things easier for her during the visit. You can visit your parents later once your baby is older.",advice,
